Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105," 2,000,000 "
Audi,100,1992,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105," 2,000,000 "
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105," 2,000,000 "
Audi,100,1993,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16,3105," 2,000,000 "
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105," 2,000,000 "
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105," 2,000,000 "
Audi,100,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105," 2,000,000 "
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,21,16,3105," 2,000,000 "
Audi,100,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22,16,3105," 2,000,000 "
Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22,17,3105," 2,000,000 "
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,16,3105," 2,000,000 "
Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21,16,3105," 2,000,000 "
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819," 27,495,000 "
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819," 24,995,000 "
FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819," 28,195,000 "
Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617," 2,000,000 "
Mercedes-Benz,190-Class,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617," 2,000,000 "
Mercedes-Benz,190-Class,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617," 2,000,000 "
Mercedes-Benz,190-Class,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617," 2,000,000 "
Mercedes-Benz,190-Class,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18,617," 2,000,000 "
Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17,617," 2,000,000 "
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916," 32,850,000 "
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23,3916," 38,650,000 "
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916," 48,750,000 "
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916," 34,850,000 "
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22,3916," 40,650,000 "
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916," 44,150,000 "
BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,34,22,3916," 32,850,000 "
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916," 46,150,000 "
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916," 50,750,000 "
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916," 46,450,000 "
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916," 49,050,000 "
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916," 51,050,000 "
BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916," 44,450,000 "
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,34,23,3916," 38,950,000 "
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,24,3916," 33,150,000 "
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,33,24,3916," 35,150,000 "
BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,33,23,3916," 40,950,000 "
Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105," 2,000,000 "
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,15,3105," 2,000,000 "
Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,23,15,3105," 2,000,000 "
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,3105," 2,000,000 "
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,22,16,3105," 2,000,000 "
Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105," 2,000,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 25,170,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 23,950,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013," 29,370,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 21,995,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013," 26,625,000 "
Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013," 30,825,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 21,995,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 27,795,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013," 31,785,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013," 29,905,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 22,490,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 27,570,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 25,690,000 "
Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 24,490,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013," 29,905,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013," 31,785,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 26,685,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 22,490,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 25,690,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013," 30,900,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 27,795,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 21,995,000 "
Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013," 24,490,000 "
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26,2009," 2,000,000 "
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26,2009," 2,000,000 "
Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009," 2,000,000 "
Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009," 2,000,000 "
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009," 2,000,000 "
Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009," 2,000,000 "
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009," 2,000,000 "
Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25,2009," 2,000,000 "
Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,28,20,2009," 2,073,000 "
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009," 3,713,000 "
Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009," 3,520,000 "
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009," 3,910,000 "
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009," 4,182,000 "
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009," 4,107,000 "
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009," 4,299,000 "
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009," 4,693,000 "
Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009," 4,107,000 "
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870," 2,000,000 "
Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,18,870," 2,000,000 "
Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870," 2,000,000 "
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870," 2,000,000 "
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870," 2,000,000 "
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870," 2,000,000 "
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870," 2,000,000 "
Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,25,18,870," 2,000,000 "
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 16,020,000 "
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 14,530,000 "
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 16,860,000 "
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 15,370,000 "
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 17,050,000 "
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 15,560,000 "
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 16,210,000 "
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 14,720,000 "
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 17,050,000 "
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586," 15,560,000 "
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 16,210,000 "
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586," 14,720,000 "
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916," 47,250,000 "
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916," 41,850,000 "
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916," 41,850,000 "
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916," 43,000,000 "
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916," 49,200,000 "
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916," 49,650,000 "
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916," 43,950,000 "
BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22,3916," 41,950,000 "
BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916," 50,150,000 "
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916," 37,500,000 "
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916," 43,750,000 "
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32,3916," 39,000,000 "
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916," 39,500,000 "
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916," 39,500,000 "
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916," 34,950,000 "
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916," 45,750,000 "
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,43,31,3916," 43,450,000 "
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916," 37,500,000 "
BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,43,31,3916," 41,000,000 "
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916," 32,950,000 "
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916," 41,850,000 "
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916," 47,800,000 "
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916," 39,850,000 "
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916," 38,350,000 "
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916," 40,350,000 "
BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916," 38,350,000 "
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,34,22,3916," 42,650,000 "
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916," 33,150,000 "
BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916," 35,150,000 "
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916," 44,150,000 "
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916," 45,800,000 "
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23,3916," 38,750,000 "
BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,23,3916," 35,450,000 "
BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916," 33,450,000 "
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916," 40,750,000 "
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916," 42,250,000 "
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,23,3916," 42,950,000 "
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916," 40,250,000 "
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,21,3916," 49,900,000 "
BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916," 47,900,000 "
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916," 44,450,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617," 2,232,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617," 2,000,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617," 2,000,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,20,15,617," 2,105,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617," 2,199,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16,617," 2,000,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15,617," 2,124,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14,617," 3,552,000 "
Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,15,617," 2,179,000 "
Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,30,23,617," 2,000,000 "
Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,29,23,617," 2,000,000 "
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14,617," 2,377,000 "
Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,15,617," 3,814,000 "
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617," 2,207,000 "
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617," 2,000,000 "
Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,21,15,617," 2,248,000 "
